latitude,longitude,label
30.7235263,-95.550777100000005,17
32.944811633333337,-96.886816933333321,1
29.533756633333336,-95.744486399999985,18
29.653750333333335,-95.309587666666673,19
30.192998750000001,-95.15085345,15
30.492295266666662,-96.370173405165076,17
32.556524400000001,-95.863299599999991,12
30.227067630153101,-93.204317156460306,4
36.414235699999999,-96.395296299999998,14
35.327292800000002,-96.925300399999998,19
30.425875364783199,-97.714536839687497,7
34.834795900000003,-97.602531900000002,9
