latitude,longitude,label
43.175389676079803,-75.281101416225496,1
43.86529555148325,-70.826226607551746,2
44.964931840714101,-70.642220453067196,1
43.108115374072099,-70.737860581019504,1
40.367806899999998,-76.933339399999994,1
38.473181500000003,-77.996663900000001,1
39.827908030126473,-78.684022492460898,4
41.608439699999998,-75.060427300000001,1
41.189028449999995,-76.8276647,4
41.428043199999998,-78.561127499999998,1
42.899718097440697,-72.511260664607093,1
41.9192368,-77.538874399999997,1
