latitude,longitude,label
25.866600999999999,-80.317131200000006,1
27.816414999999999,-80.470607799999996,1
28.249853399999999,-81.283903800000004,1
27.490806297974501,-82.628041968866796,1
30.3410529551258,-81.57572027392871,2
26.142035799999999,-81.794810299999995,1
26.224832518497323,-80.12659133930751,5
27.770379599999998,-82.669508500000006,1
28.292024900000001,-81.407801300000003,1
28.550268500000001,-81.5925973608596,1
28.810822999999999,-81.877858200000006,1
29.271509299999998,-81.061521550000009,2
