latitude,longitude,label
44.560502549999995,-88.067221749999987,2
38.285878799999999,-91.720442000000006,1
41.473094799999998,-87.061141199999994,1
42.047678354005896,-89.436389935098305,2
38.628963121885803,-88.945077792115995,1
42.126174200000001,-89.579115000000002,1
41.2978095,-88.216171400000007,2
42.125621620479002,-88.594995149220253,2
38.627273299999999,-90.197888899999995,1
39.018096200000002,-91.897119799999999,1
41.438062599999995,-90.811605799999995,2
45.471546799999999,-89.733530500000001,1
40.871675341639005,-89.022805740613151,2
