latitude,longitude,label
44.551463689655399,-94.510526928688577,17
52.288104500000003,8.9168851999999994,1
27.741027477817372,-81.108316709673417,18
41.490196166007031,-89.338562881156804,19
35.264336901831498,-80.382869134285713,15
41.540176120201217,-82.923531171641201,17
33.133784303937041,-111.28017827302627,12
45.194369475000002,-122.89714317500001,4
36.61782240714286,-85.228958792857156,14
41.565431584830485,-75.734846189466637,19
34.390611063171974,-117.86780977816959,7
46.494048177449464,-115.85253402203577,9
33.919794603855607,-91.275850279363951,9
37.743830228571426,-105.29564752857142,7
31.369959866425535,-96.023379019602032,21
